"Name","CostcoPrice","EbayPrice","EbayStDev","AmazonPrice","AmazonStDev"
"Sleep Science 10"" Cal King Memory Foam Mattress","699.99",2645,0,561.5,112.5
"Brentwood Home Wildfern 2 stage Crib Mattress made with Organic Materials","219.99",null,null,null,null
"Boutique 36"" Storage Unit with Drawers","549.99",615.22,0,null,null
"Quincy Stacking Chair 4-pack ","339.99",380.43,0,440.63,0
"Lewis Credenza with Hutch","2,699.99",4441.423333333333,972.2331993919977,1005,969
"Xerox 108R00927 Solid Ink Stick Magenta 2ct","153.99",1208.0633333333333,643.2142839071767,151.752,11.497739603939552
"Bic Round Stic Grip Xtra Comfort Ballpoint Pen, Medium Point, Three 12ct Packs","6.99",null,null,1.005,0.995
"200 Total Servings of Precooked Red Beans, Emergency Storage with Gamma Lid","74.99",106.61,0,96.87,8.766022473163073
"Sacramento 2 Rounds Golf Package eCertificate","44.99",null,null,189709.99,189689.00999999998
"Carter's Girls' 3-piece Playwear Set, White and Chambray","14.99",null,null,null,null
"Nestlé® Coffee-mate® Sweetened Original Liquid Creamer 1.5L Pump Bottle ","13.19",16.259999999999998,0.4136665323663486,15,0
"Reece 7-piece Counter-Height Dining Set","1,499.99",null,null,null,null
"Parkrose Full Platform Bed","649.99",null,null,1242.0549999999998,452.04499999999996
"ES Robbins Natural Origins Chair Mat for Hard Floor 45"" x 53"" w/Lip Clear ","51.69",46.47,13.469999999999999,51,0
"Sleep Science Escape 14.5"" Luxury Memory Foam King Mattress with Foundation","2,499.99",null,null,null,null
"TRINITY EcoStorage™ Wire Basket with Slides - 2 Pack","69.99",78.55,0,750.899,1342.3163061696748
"Carmel 8-piece Dining Set","3,399.99",null,null,1070,0
"Mighty Mule Cascade 14’ Dual Steel Driveway Gate","2,199.99",null,null,2445.01,185.9599999999998
"iBUYPOWER C-i13 Gaming Desktop - 7th Generation Intel Core i7 - 3GB NVIDIA GTX 1060 Graphics","1,099.99",null,null,null,null
"Fairfax 2-piece Top Grain Leather Reclining Set","2,499.99",null,null,null,null
"Bevelle 5-piece Cal King Bedroom Set","2,399.99",null,null,18,19.096247449870006
"Mikasa Avery 16-pc Dinnerware Set","59.99",71.26,0,95.7475,51.315117351030196
"Innovera Remanufactured For Canon PGI-220 Black Ink Cartridge 3PK","23.89",null,null,38.5,19.5
"Smart For Life Coffee Latte Gluten-Free Protein Bars, 72-count","79.99",null,null,null,null
"Jona Michelle Girls' Holiday Dress, Blue and Black","12.97",null,null,963.3333333333334,331.3973781160953
"9' Airflow Market Umbrella in Taupe by Seasons Sentry®","189.99",218.5,0,null,null
"Hirsh 26.5"" 2-Drawer Vertical File 3-pack - Putty","349.99",null,null,null,null
"Round Brilliant 0.66 ctw VS2 Clarity, I Color Diamond 18kt White Gold Multi Stone Earrings","969.99",null,null,null,null
"Cross AT05555 Edge Gel Pen Medium Titanium","33.39",38.76666666666667,0.6966746411026844,43.4,0
"Comfort Tech SERENE Comfort Foam Traditional Shape Pillow","39.99",53.56,0,null,null
"Innovera Remanufactured For HP 64X High Yield Black Toner Cartridge","112.99",null,null,null,null
"Hirsh 6pk 25"" Letter Size 4-Drawer Vertical Files - Putty","899.99",1006.53,0,null,null
"Kirkland Signature™ Ultra Soft Bath Tissue 2-ply White 36-count","21.99",35.5025,9.372132561482472,34.62,13.906755552608235
"Georgia-Pacific Angel Soft Compact Coreless Tissue Starter Kit ","32.39",35.25,5.26,43,0
"Innovera Remanufactured For Brother LC51C Cyan Ink Cartridge 3PK ","14.59",null,null,29,0
"Sentry®Safe 2.0 Cubic Ft. Fire-Safe® with Combo Lock","319.99",380.43,18.83927988715775,336.97,0
"Pampered Pet Cheddar Cheese & Bacon Dog Treats, 5lb Bags, 2-Pack, Made in the USA","39.99",null,null,null,null
"Princess Cut 3.12 ct VVS2 Clarity G Color Diamond Platinum Solitaire Ring","53,999.99",null,null,null,null
"Digital 24""x48"" Height Adjustable Table- Bark Grey","499.99",null,null,null,null
"Whirlpool 6.0CuFt GAS Double Oven Range with Central Oval Burner in Stainless Steel - WGG745S0FS","1,289.99",null,null,null,null
"Hirsh 36"" 4-drawer Lateral File, Black","479.99",null,null,null,null
"Roslyn 7-Piece Counter-Height Dining Set","1,299.99",null,null,1021,478
"Pre-Order In My Heart Floral Arrangement 30 Stem Red Roses","69.99",null,null,null,null
"Neenah Astrobrights Paper, Letter, Gamma Green, 24lb, 500ct ","9.99",null,null,null,null
"Truly Sweet Mixed Bouquet","64.99",56.59,0,26,23.423634787681152
"Dutailier® Jenny Taupe Multiposition Lock and Recline Glider and Ottoman","599.99",null,null,777,0
"creative bioscience Joint Formula, 240 Veggie Capsules","29.97",35.73333333333334,2.5252634626025765,350.845,556.2587822902215
"Reese Full/Queen Upholstered Headboard - Seagull Grey","289.99",null,null,null,null
"Xerox 106R02225 Toner Cartridge Cyan","241.99",100.9453846153846,83.49887387068514,293.5,35.7246413557925
"DayMinder Monthly 2017 Academic Planner 7-7/8"" x 11-7/8"" Black ","11.29",53.245999999999995,51.99676397623222,null,null
"Merritt U-shape Desk with Hutch, Bookcase and Lateral File","1,199.99",1479.79,0,null,null
"Bialetti 10-pc Aluminum Cookware Set with Silicone Handles","99.99",113.28,17.98770468959283,127,7.0710678118654755
"CyberpowerPC SLC3200C Desktop - 7th Generation Intel Core i7 - 8GB NVIDIA GeForce GTX 1080 Graphics","1,899.99",null,null,null,null
"Amanda King Upholstered Headboard - Cream","279.99",null,null,229,0
"Three-tier Gourmet Nut & Snack Gift Box","64.99",null,null,null,null
"Scarborough 4-piece Queen Bedroom Set","2,199.99",null,null,null,null
"Alera 4-Shelf Wire Shelving Rack | 48"" x 18"" 72"" | NSF | Silver ","120.99",null,null,null,null
"Husky Storm Central Vacuum System with Electric Power Head Kit","799.99",907.99,12,null,null
"Round Brilliant 7.00 ctw VS2 Clarity, I Color Diamond 14kt White Gold Bracelet","7,999.99",null,null,null,null
"Certified International Paris Sunflower 16-piece Dinnerware Set","89.99",170.28,65.58472230634204,101.29,92.02329686914432
"iFly Indoor Skydiving 2 Flights eCertificate","39.99",null,null,null,null
"Lifetime 130 Gallon Deck Box","149.99",208.86999999999998,31.251807358261615,173.786,22.09612961583996
"FireKing 4-Drawer Insulated File Legal Vertical Black FIR 42125CBL","2,099.99",2348.19,0,null,null
"Emerald Cut 1.35 ctw VS2 Clarity, I Color Diamond Baguette Platinum Ring","5,399.99",null,null,null,null
"Fellowes Standard Adjustable Footrest, 17-5/8 inch x 13-1/8 inch x 3-3/4 inch, Graphite FEL 48121","18.99",null,null,null,null
"Dutailier Mia Multiposition Locking Glider and Ottoman - Gray/Brown Frame","499.99",null,null,null,null
"Lorex 16-Channel HD Analog DVR with 2TB HDD, 12 1080p Cameras with 130' Night Vision","699.99",null,null,797,332
"Nutristore Freeze-Dried Chicken & Beef Combo, 6-pack","229.99",null,null,null,null
"Rubbermaid Safety Cone “Caution Wet Floor"" RCP 627777","27.39",54.307500000000005,9.888752133105573,33,0
"Capri Low Back Office Chair- Black","129.99",null,null,199.165,105.22295119570319
"Rocky Mountain Chocolate Factory® Gourmet Truffle Assortment","29.99",47.24,0,32.75,7.595228765481656
"4 ft. x 8 ft. Aluminum Dock Kit - Do It Yourself","399.99",447.51,0,null,null
"Folgers Instant Coffee 16 oz.","10.99",31.856206896551733,28.759857370251225,16.55,9.652814541439641
"Sleep Science Ara 13"" Cal King Memory Foam Mattress 100% Visco Foam","999.99",null,null,null,null
"Princess Cut 0.33 ctw VS2 Clarity, I Color Diamond 14kt Two Tone Men's Ring","899.99",null,null,null,null
"Pendleton 6-piece Queen Storage Bedroom Set","3,199.99",null,null,null,null
"Royal Heritage Home Soho NY Hotel 8-pc Comforter Set","134.99",null,null,169.745,83.91200793092726
"Smead Poly Two-Pocket Folder Letter Blue 5ct ","9.19",10.94,0,null,null
"Peyton 3-piece Full Bedroom Set","1,499.99",null,null,null,null
"Valletta 3-piece Chaise Lounge Set","1,399.99",1705.03,0,173.76999999999998,194.02084235119344
