"ParentPartNumber","Name","Price"
"100036327","Round Brilliant 3.00 ctw VS2 Clarity I Color Diamond Platinum Ring","14,499.99"
"100111548","Evenflo® SureRide 65 DLX Convertible Car Seat - Paxton","89.99"
"100233951","40 Pack Banquet Stacking Chair-Diamond Burgundy","1,599.99"
"100329246","Cushion Cut 2.00ct VS2 Clarity, Fancy Yellow Diamond Platinum 2.37ctw Ring","17,499.99"
"100234569","Cosmos Creations Sweet & Savory Puffed Corn Variety Pack 48 Count","36.99"
"11604475","Round Brilliant 1.62 ctw VS2 Clarity, I Color Diamond 18kt White Gold Halo Drop Earrings","5,599.99"
"100292203","Epson Expression ET-2550 Special Edition EcoTank All-in-One Printer","249.99"
"100020931","Xerox 106R01628 Toner Cartridge Magenta","59.89"
"100309327","Samsung 5.0CuFt AddWash Steam Washer 7.5CuFt ELECTRIC Multi-steam Dryer in Black Stainless Steel","2,999.99"
"100291759","32 Degrees Ladies’ 2-pack Lounge Legging, Black and Gray","9.97"
"100309134","Samsung 7.5CuFt ELECTRIC Steam Dryer with Stainless Steel Drum in White","1,169.99"
"11673002","Ashfield Entertainment Chest","819.99"
"11623674","White Freshwater 9 - 9.5 mm Pearl Stud Earrings","176.99"
"100018994","Spectrum Standard 92 Multipurpose Paper, Letter, 92-Bright, 200 Case/5 Pallet Pricing ","25.99"
"100236517","Paxton Fabric Queen Sleeper Sofa","799.99"
"100020096","Innovera Remanufactured For Dell Series 5230 Black Toner Cartridge","254.99"
"100146224","Sealed Air Jiffy TuffGard Self-Seal Cushioned Mailer 9-1/2"" x 14-1/2"" White 25ct ","25.59"
"100313704","At-A-Glance 2017 Floradoodle Monthly Desk Pad, 21-3/4"" x 15""","10.99"
"100248563","Coleman Airbed Cot – Twin","119.99"
"100284143","Austin Worklife Reversible L-Desk","1,549.99"
"100019550","Purell LTX-12 Hand Sanitizer Foam Refill 1,200ml Clear 2ct GOJ 190502 CT","78.99"
"100230476","Cottonelle® Ultra Comfort Care Jumbo Roll Toilet Paper, 45 Rolls","31.99"
"100021841","Innovera Remanufactured For Epson T0694 Yellow Ink Cartridge 3pk","20.49"
"100107545","Lukas 9-piece Dining Set","1,999.99"
"100102439","Durable Vinyl Report Cover w/Clip, Letter, 60 Pages, Clear/Black ","2.09"
"100218715","Dana Twin Headboard - Polka Dot","179.99"
"100043535","5 Section Coat Locker  ","289.99"
"100147646","The Spa at Black Rock $100 Gift eCertificate, Maui","79.99"
"100123162","L. A. BABY Baby’s Best Slumber 2-in-1 Soy Foam Crib Mattress ","119.99"
"100311425","Digital 24""x48"" Height Adjustable Table- Chocolate","499.99"
"100326225","Cargo Cosmetics Around the World Eye Shadow Palette","16.99"
"100291948","Cannon Safe, 16.3 CuFt, 30 Minute Fire Protection, 60""H x 26”W x 18”D, Electronic Lock","499.99"
"100283808","Carole Hochman Ladies’ 2-pack Scoop Neck Tank ","12.99"
"100293960","Fitbit Blaze Smart Fitness Watch Bundle","199.99"
"100309168","Kirkland Signature Vitamin C 250 mg., 360 Adult Gummies",""
"11709722","Avery Top-Load Poly Sheet Protectors, Heavy Gauge, 8-1/2"" x 11"" 10 page set","3.59"
"100057609","Vineyard 5-piece Queen Sleigh Bedroom Set","4,999.99"
"100322214","Cyprus Upholstered King Bed in White","729.99"
"11133139","Mead Spiral-Bound Notebook, 3 HP Wide/Margin Rule, 1-Subject, Asst Colors, 100 Sheets MEA 05514","1.69"
"100158811","Maldon 3-piece Occasional Table Set ","259.99"
"100042067","Greenball Greensaver Plus GT Golf Cart Tire","38.99"
"100237980","Kirkland Signature Men's Button Down Dress Shirt, Gray Blue Plaid","14.97"
"11607027","Safco Onyx Steel Mesh Angled Telephone Stand, 11-3/4 inch x 9-1/4 inch x 7 inch, Black ","19.39"
"100158103","Aquaterra™ Spas Aryana 45-Jet, 5-Person Spa","3,999.99"
"100033075","Xerox 106R02226 Toner Cartridge Magenta","241.99"
"100139798","10’ x 12’ Junior Orangerie Glass-Walled Greenhouse","4,899.99"
